"S120VC	2000-03-19 01:30:23",,,,"1.882470E-04	27",1.882470E-04
"value unit [W]	time unit [ms]",,,,"1.904619E-04	327",1.904619E-04
"wavelength	635.000nm",,,,"1.912682E-04	627",1.912682E-04
"range	AUTO",,,,"1.930961E-04	927",1.930961E-04
"1.882470E-04	27",,,,"1.939901E-04	1227","1.939901E-04	"
"1.904619E-04	327",,,,"1.956895E-04	1527","1.956895E-04	"
"1.912682E-04	627",,,,"1.964653E-04	1827","1.964653E-04	"
"1.930961E-04	927",,,,"1.976768E-04	2127","1.976768E-04	"
"1.939901E-04	1227",,,,"1.985388E-04	2427","1.985388E-04	"
"1.956895E-04	1527",,,,"1.996422E-04	2727","1.996422E-04	"
"1.964653E-04	1827",,,,"2.011247E-04	3027","2.011247E-04	"
"1.976768E-04	2127",,,,"2.023614E-04	3327","2.023614E-04	"
"1.985388E-04	2427",,,,"2.031877E-04	3627","2.031877E-04	"
"1.996422E-04	2727",,,,"2.043662E-04	3927","2.043662E-04	"
"2.011247E-04	3027",,,,"2.055222E-04	4227","2.055222E-04	"
"2.023614E-04	3327",,,,"2.069610E-04	4527","2.069610E-04	"
"2.031877E-04	3627",,,,"2.077079E-04	4827","2.077079E-04	"
"2.043662E-04	3927",,,,"2.084206E-04	5127","2.084206E-04	"
"2.055222E-04	4227",,,,"2.098948E-04	5427","2.098948E-04	"
"2.069610E-04	4527",,,,"2.110984E-04	5727","2.110984E-04	"
"2.077079E-04	4827",,,,"2.121207E-04	6027","2.121207E-04	"
"2.084206E-04	5127",,,,"2.127908E-04	6327","2.127908E-04	"
"2.098948E-04	5427",,,,"2.140764E-04	6627","2.140764E-04	"
"2.110984E-04	5727",,,,"2.150352E-04	6929","2.150352E-04	"
"2.121207E-04	6027",,,,"2.160817E-04	7229","2.160817E-04	"
"2.127908E-04	6327",,,,"2.166620E-04	7529","2.166620E-04	"
"2.140764E-04	6627",,,,"2.184350E-04	7829","2.184350E-04	"
"2.150352E-04	6929",,,,"2.186464E-04	8129","2.186464E-04	"
"2.160817E-04	7229",,,,"2.196641E-04	8429","2.196641E-04	"
"2.166620E-04	7529",,,,"2.204217E-04	8729","2.204217E-04	"
"2.184350E-04	7829",,,,"2.220410E-04	9029","2.220410E-04	"
