"S120VC	2000-03-19 01:24:40",,,,"2.262625E-04	51",2.262625E-04
"3.760782E-05	25697",,,,"4.541686E-05	26897","4.541686E-05	"
"3.932247E-05	25997",,,,"4.794018E-05	27197","4.794018E-05	"
"4.117685E-05	26297",,,,"4.930392E-05	27497","4.930392E-05	"
"4.326815E-05	26597",,,,"5.139015E-05	27797","5.139015E-05	"
"4.541686E-05	26897",,,,"5.345904E-05	28097","5.345904E-05	"
"4.794018E-05	27197",,,,"5.520129E-05	28397","5.520129E-05	"
"4.930392E-05	27497",,,,"5.752001E-05	28697","5.752001E-05	"
"5.139015E-05	27797",,,,"5.917398E-05	28997","5.917398E-05	"
"5.345904E-05	28097",,,,"6.150329E-05	29297","6.150329E-05	"
"5.520129E-05	28397",,,,"6.344631E-05	29597","6.344631E-05	"
"5.752001E-05	28697",,,,"6.568277E-05	29897","6.568277E-05	"
"5.917398E-05	28997",,,,"6.745752E-05	30197","6.745752E-05	"
"6.150329E-05	29297",,,,"6.864333E-05	30497","6.864333E-05	"
"6.344631E-05	29597",,,,"7.139568E-05	30797","7.139568E-05	"
"6.568277E-05	29897",,,,"7.316594E-05	31099","7.316594E-05	"
"6.745752E-05	30197",,,,"7.560458E-05	31399","7.560458E-05	"
"6.864333E-05	30497",,,,"7.684324E-05	31699","7.684324E-05	"
"7.139568E-05	30797",,,,"7.870884E-05	31999","7.870884E-05	"
"7.316594E-05	31099",,,,"8.167639E-05	32299","8.167639E-05	"
"7.560458E-05	31399",,,,"8.329354E-05	32606","8.329354E-05	"
"7.684324E-05	31699",,,,"8.530859E-05	32907","8.530859E-05	"
"7.870884E-05	31999",,,,"8.735188E-05	33207","8.735188E-05	"
"8.167639E-05	32299",,,,"8.946634E-05	33507","8.946634E-05	"
"8.329354E-05	32606",,,,"9.111204E-05	33807","9.111204E-05	"
"8.530859E-05	32907",,,,"9.329371E-05	34107","9.329371E-05	"
"8.735188E-05	33207",,,,"9.496383E-05	34407","9.496383E-05	"
"8.946634E-05	33507",,,,"9.820554E-05	34707","9.820554E-05	"
"9.111204E-05	33807",,,,"9.894127E-05	35007","9.894127E-05	"
"9.329371E-05	34107",,,,"1.002337E-04	35307","1.002337E-04	"
"9.496383E-05	34407",,,,"1.024164E-04	35607","1.024164E-04	"
"9.820554E-05	34707",,,,"1.062043E-04	35907","1.062043E-04	"
"9.894127E-05	35007",,,,"1.061331E-04	36207","1.061331E-04	"
"1.002337E-04	35307",,,,"1.087724E-04	36507","1.087724E-04	"
"1.024164E-04	35607",,,,"1.129625E-04	36807","1.129625E-04	"
"1.062043E-04	35907",,,,"1.122516E-04	37107","1.122516E-04	"
"1.061331E-04	36207",,,,"1.139142E-04	37407","1.139142E-04	"
"1.087724E-04	36507",,,,"1.174053E-04	37707","1.174053E-04	"
"1.129625E-04	36807",,,,"1.183439E-04	38007","1.183439E-04	"
"1.122516E-04	37107",,,,"1.209745E-04	38307","1.209745E-04	"
"1.139142E-04	37407",,,,"1.227516E-04	38607","1.227516E-04	"
"1.174053E-04	37707",,,,"1.250722E-04	38909","1.250722E-04	"
"1.183439E-04	38007",,,,"1.282659E-04	39209","1.282659E-04	"
"1.209745E-04	38307",,,,"1.288653E-04	39509","1.288653E-04	"
"1.227516E-04	38607",,,,"1.305708E-04	39809","1.305708E-04	"
"1.250722E-04	38909",,,,"1.326074E-04	40109","1.326074E-04	"
"1.282659E-04	39209",,,,"1.346194E-04	40409","1.346194E-04	"
"1.288653E-04	39509",,,,"1.362506E-04	40709","1.362506E-04	"
"1.305708E-04	39809",,,,"1.385081E-04	41009","1.385081E-04	"
"1.326074E-04	40109",,,,"1.414645E-04	41554","1.414645E-04	"
"1.346194E-04	40409",,,,"1.438785E-04	41854","1.438785E-04	"
"1.362506E-04	40709",,,,"1.460983E-04	42154","1.460983E-04	"
"1.385081E-04	41009",,,,"1.468525E-04	42454","1.468525E-04	"
"1.414645E-04	41554",,,,"1.484758E-04	42754","1.484758E-04	"
"1.438785E-04	41854",,,,"1.517597E-04	43054","1.517597E-04	"
"1.460983E-04	42154",,,,"1.524694E-04	43354","1.524694E-04	"
"1.468525E-04	42454",,,,"1.538889E-04	43654","1.538889E-04	"
"1.484758E-04	42754",,,,"1.566646E-04	43954","1.566646E-04	"
"1.517597E-04	43054",,,,"1.588633E-04	44254","1.588633E-04	"
"1.524694E-04	43354",,,,"1.613511E-04	44554","1.613511E-04	"
"1.538889E-04	43654",,,,"1.631883E-04	44854","1.631883E-04	"
"1.566646E-04	43954",,,,"1.645956E-04	45154","1.645956E-04	"
"1.588633E-04	44254",,,,"1.669594E-04	45454","1.669594E-04	"
"1.613511E-04	44554",,,,"1.686498E-04	45754","1.686498E-04	"
"1.631883E-04	44854",,,,"1.701958E-04	46054","1.701958E-04	"
"1.645956E-04	45154",,,,"1.729289E-04	46354","1.729289E-04	"
"1.669594E-04	45454",,,,"1.747576E-04	46655","1.747576E-04	"
"1.686498E-04	45754",,,,"1.761496E-04	46955","1.761496E-04	"
"1.701958E-04	46054",,,,"1.781499E-04	47255","1.781499E-04	"
"1.729289E-04	46354",,,,"1.794564E-04	47555","1.794564E-04	"
"1.747576E-04	46655",,,,"1.820740E-04	47855","1.820740E-04	"
"1.761496E-04	46955",,,,"1.839476E-04	48155","1.839476E-04	"
"1.781499E-04	47255",,,,"1.858681E-04	48455","1.858681E-04	"
"1.794564E-04	47555",,,,"1.874256E-04	48755","1.874256E-04	"
"1.820740E-04	47855",,,,"1.892644E-04	49055","1.892644E-04	"
"1.839476E-04	48155",,,,"1.908965E-04	49355","1.908965E-04	"
"1.858681E-04	48455",,,,"1.923888E-04	49655","1.923888E-04	"
"1.874256E-04	48755",,,,"1.952040E-04	49955","1.952040E-04	"
"1.892644E-04	49055",,,,"1.962797E-04	50255","1.962797E-04	"
"1.908965E-04	49355",,,,"1.986858E-04	50555","1.986858E-04	"
"1.923888E-04	49655",,,,"2.005352E-04	50855","2.005352E-04	"
"1.952040E-04	49955",,,,"2.026907E-04	51155","2.026907E-04	"
"1.962797E-04	50255",,,,"2.040594E-04	51455","2.040594E-04	"
"1.986858E-04	50555",,,,"2.060011E-04	51755","2.060011E-04	"
"2.005352E-04	50855",,,,"2.076825E-04	52055","2.076825E-04	"
"2.026907E-04	51155",,,,"2.100332E-04	52355","2.100332E-04	"
"2.040594E-04	51455",,,,"2.111859E-04	52655","2.111859E-04	"
"2.060011E-04	51755",,,,"2.132124E-04	52955","2.132124E-04	"
"2.076825E-04	52055",,,,"2.144474E-04	53255","2.144474E-04	"
"2.100332E-04	52355",,,,"2.164941E-04	53555","2.164941E-04	"
"2.111859E-04	52655",,,,"2.177571E-04	53855","2.177571E-04	"
"2.132124E-04	52955",,,,"2.205778E-04	54155","2.205778E-04	"
"2.144474E-04	53255",,,,"2.226146E-04	54457","2.226146E-04	"
"2.164941E-04	53555",,,,"2.234811E-04	54757","2.234811E-04	"
"2.177571E-04	53855",,,,"2.261274E-04	55057","2.261274E-04	"
"2.205778E-04	54155",,,,"2.279022E-04	55357","2.279022E-04	"
"2.226146E-04	54457",,,,"2.292992E-04	55657","2.292992E-04	"
"2.234811E-04	54757",,,,"2.304081E-04	55957","2.304081E-04	"
"2.261274E-04	55057",,,,"2.326814E-04	56257","2.326814E-04	"
"2.279022E-04	55357",,,,"2.342614E-04	56557","2.342614E-04	"
"2.292992E-04	55657",,,,"2.359814E-04	56857","2.359814E-04	"
"2.304081E-04	55957",,,,"2.382409E-04	57157","2.382409E-04	"
"2.326814E-04	56257",,,,"2.403149E-04	57457","2.403149E-04	"
"2.342614E-04	56557",,,,"2.412924E-04	57757","2.412924E-04	"
"2.359814E-04	56857",,,,"2.433706E-04	58057","2.433706E-04	"
"2.382409E-04	57157",,,,"2.443836E-04	58357","2.443836E-04	"
"2.403149E-04	57457",,,,"2.464040E-04	58657","2.464040E-04	"
"2.412924E-04	57757",,,,"2.484912E-04	58957","2.484912E-04	"
"2.433706E-04	58057",,,,"2.493557E-04	59257","2.493557E-04	"
"2.443836E-04	58357",,,,"2.526420E-04	59557","2.526420E-04	"
"2.464040E-04	58657",,,,"2.527901E-04	59857","2.527901E-04	"
"2.484912E-04	58957",,,,"2.546729E-04	60157","2.546729E-04	"
"2.493557E-04	59257",,,,"2.573661E-04	60457","2.573661E-04	"
"2.526420E-04	59557",,,,"2.587967E-04	60757","2.587967E-04	"
"2.527901E-04	59857",,,,"2.600847E-04	61057","2.600847E-04	"
"2.546729E-04	60157",,,,"2.623835E-04	61357","2.623835E-04	"
"2.573661E-04	60457",,,,"2.637397E-04	61657","2.637397E-04	"
"2.587967E-04	60757",,,,"2.651375E-04	61957","2.651375E-04	"
